,total,errors,error_rate
H,147.0000,19.0000,0.1293
F,155.0000,15.0000,0.0968
K,148.0000,12.0000,0.0811
N,157.0000,12.0000,0.0764
G,155.0000,11.0000,0.0710
I,151.0000,10.0000,0.0662
R,151.0000,10.0000,0.0662
B,153.0000,9.0000,0.0588
E,154.0000,9.0000,0.0584
O,150.0000,8.0000,0.0533
C,147.0000,7.0000,0.0476
M,158.0000,7.0000,0.0443
P,161.0000,7.0000,0.0435
J,149.0000,5.0000,0.0336
V,153.0000,5.0000,0.0327
T,159.0000,5.0000,0.0314
S,150.0000,4.0000,0.0267
U,163.0000,4.0000,0.0245
L,152.0000,3.0000,0.0197
Q,157.0000,3.0000,0.0191
Z,147.0000,2.0000,0.0136
W,150.0000,2.0000,0.0133
Y,157.0000,2.0000,0.0127
A,158.0000,2.0000,0.0127
D,161.0000,2.0000,0.0124
X,157.0000,1.0000,0.0064
